from,to,relationship,time,time2
Smudo,LGN,,5,6
Smudo,TilSchweiger,,5,NA
Smudo,PPE,,5,NA
Smudo,PETA,,2,NA
MalEleve,SOSM,,6,NA
MalEleve,KMII,,6,NA
MalEleve,Voice,,6,NA
MalEleve,MMM,,6,NA
MalEleve,SW,,6,NA
MalEleve,Unteilbar,,6,NA
MalEleve,ProAsyl,,6,NA
MalEleve,VCA,,2,NA
MalEleve,MSN,,3,NA
MalEleve,RFA,,1,NA
MalEleve,Respekt,,3,NA
MalEleve,DGVN,,4,NA
MalEleve,LGN,,6,NA
Pohlmann,SS,,5,NA
Pohlmann,JG,,6,NA
Pohlmann,Myclimate,,4,NA
Pohlmann,LGN,,6,NA
Pohlmann,UD,,6,NA
Pohlmann,DMS,,5,NA
Pohlmann,VCA,,3,NA
Pohlmann,MBS,,5,NA
NewSway,LGN,,5,NA
Gleis,LGN,,6,NA
LeslieClio,LGN,,6,NA
LeslieClio,VCA,,6,NA
LeslieClio,TDF,,5,NA
LeslieClio,DRK,,6,NA
LeslieClio,BZGA,,6,NA
LeslieClio,CI,,6,NA
LeslieClio,MBS,,5,NA
LeslieClio,Vangardist,,6,NA
LeslieClio,Ramstein,,5,NA
LeslieClio,GP,,6,NA
LeslieClio,GV,,,
EnnoBunger,SG,,5,NA
EnnoBunger,FFK,,6,NA
EnnoBunger,DKMS,,5,NA
EnnoBunger,WSM,,5,NA
EnnoBunger,AAS,,5,NA
EnnoBunger,ProAsyl,,5,NA
EnnoBunger,LGN,,5,NA
KhebezDawle,LGN,,5,NA
KhebezDawle,CMA,,5,NA
KhebezDawle,DSF,,5,NA
KhebezDawle,PG,,5,NA
VanDeForst,HKH,,5,NA
VanDeForst,Krebsberatung,,5,NA
VanDeForst,LGN,,6,NA
RonjaMaltzahn,LGN,,6,NA
RonjaMaltzahn,Friedensmusik,,5,NA
RonjaMaltzahn,SH,,5,NA
RonjaMaltzahn,INBP,,5,NA
RonjaMaltzahn,Friedensdorf,,5,NA
FourColours,LGN,,6,NA
MattenZwei,LGN,,6,NA
UweKaa,LGN,,6,NA
BandaInternationale,LGN,,6,NA
BandaInternationale,TPOTH,,5,NA
BandaInternationale,BGH,,5,NA
