from,to,relationship,time,time2
Smudo,LGN,,5,6
Smudo,TilSchweiger,,5,99
Smudo,PPE,,5,99
Smudo,PETA,,2,99
MalEleve,SOSM,,6,99
MalEleve,KMII,,6,99
MalEleve,Voice,,6,99
MalEleve,MMM,,6,99
MalEleve,SW,,6,99
MalEleve,Unteilbar,,6,99
MalEleve,ProAsyl,,6,99
MalEleve,VCA,,2,99
MalEleve,MSN,,3,99
MalEleve,RFA,,1,99
MalEleve,Respekt,,3,99
MalEleve,DGVN,,4,99
MalEleve,LGN,,6,99
Pohlmann,SS,,5,99
Pohlmann,JG,,6,99
Pohlmann,Myclimate,,4,99
Pohlmann,LGN,,6,99
Pohlmann,UD,,6,99
Pohlmann,DMS,,5,99
Pohlmann,VCA,,3,99
Pohlmann,MBS,,5,99
NewSway,LGN,,5,99
Gleis,LGN,,6,99
LeslieClio,LGN,,6,99
LeslieClio,VCA,,6,99
LeslieClio,TDF,,5,99
LeslieClio,DRK,,6,99
LeslieClio,BZGA,,6,99
LeslieClio,CI,,6,99
LeslieClio,MBS,,5,99
LeslieClio,Vangardist,,6,99
LeslieClio,Ramstein,,5,99
LeslieClio,GP,,6,99
LeslieClio,GV,,NA,99
EnnoBunger,SG,,5,99
EnnoBunger,FFK,,6,99
EnnoBunger,DKMS,,5,99
EnnoBunger,Entwicklungsgesellschaft,,5,99
EnnoBunger,AAS,,5,99
EnnoBunger,ProAsyl,,5,99
EnnoBunger,LGN,,5,99
KhebezDawle,LGN,,5,99
KhebezDawle,CMA,,5,99
KhebezDawle,DSF,,5,99
KhebezDawle,PG,,5,99
VanDeForst,HKH,,5,99
VanDeForst,Krebsberatung,,5,99
VanDeForst,LGN,,6,99
RonjaMaltzahn,LGN,,6,99
RonjaMaltzahn,Friedensmusik,,5,99
RonjaMaltzahn,SH,,5,99
RonjaMaltzahn,INBP,,5,99
RonjaMaltzahn,Friedensdorf,,5,99
FourColours,LGN,,6,99
MattenZwei,LGN,,6,99
UweKaa,LGN,,6,99
BandaInternationale,LGN,,6,99
BandaInternationale,TPOTH,,5,99
BandaInternationale,BGH,,5,99
